epoch,train_loss,train_acc,train_time,val_loss,val_acc,val_time
1,0.696709,0.732125,68.20,0.392443,0.849000,10.31
2,0.378209,0.857521,69.75,0.311643,0.886583,8.00
3,0.327846,0.877271,64.96,0.294539,0.887667,7.51
4,0.296176,0.889271,63.20,0.264739,0.899833,7.99
5,0.268417,0.899687,74.14,0.255813,0.906583,10.74
6,0.258127,0.903625,73.99,0.265623,0.903000,10.54
7,0.242198,0.908792,73.03,0.248434,0.910917,8.35
8,0.231373,0.914312,71.10,0.242128,0.913000,10.55
9,0.214377,0.920583,72.82,0.220057,0.919583,10.42
10,0.201729,0.925000,73.54,0.224928,0.916500,10.82
11,0.198698,0.925021,72.34,0.225404,0.921000,10.51
12,0.188844,0.929354,72.18,0.220283,0.919750,10.40
13,0.178945,0.932729,71.10,0.220844,0.920917,10.51
14,0.178759,0.932896,71.21,0.233682,0.916917,10.54
15,0.173297,0.934708,72.40,0.223993,0.919417,10.52
16,0.124637,0.952187,70.82,0.199613,0.929583,10.29
17,0.108080,0.958229,72.54,0.203439,0.930833,10.45
18,0.097200,0.961333,71.62,0.204057,0.932083,10.62
19,0.092084,0.964437,72.61,0.209802,0.932417,10.35
20,0.087182,0.966396,70.49,0.212260,0.933000,6.97
21,0.080133,0.968125,69.26,0.217503,0.931083,7.01
22,0.076506,0.970042,59.06,0.221398,0.930833,6.97
23,0.071949,0.972042,59.94,0.226632,0.932333,7.01
24,0.066964,0.973646,58.46,0.237911,0.930917,6.72
25,0.106586,0.964833,64.01,0.087224,0.972167,9.41
26,0.093757,0.966542,63.13,0.083573,0.971667,6.94
27,0.083545,0.970292,58.44,0.083261,0.973000,6.54
28,0.078385,0.970729,59.09,0.084133,0.972000,6.58
29,0.072802,0.973833,59.11,0.083928,0.972000,6.42
30,0.066824,0.975292,59.91,0.084902,0.971333,6.59
31,0.060315,0.978083,59.77,0.083848,0.972083,6.81
32,0.057730,0.979125,61.20,0.084112,0.972417,6.81
33,0.056221,0.978896,60.82,0.084533,0.972750,6.68
34,0.057616,0.978833,57.47,0.084369,0.972333,6.40
35,0.057616,0.978646,57.65,0.084229,0.972333,6.35
36,0.054523,0.980167,58.63,0.084484,0.972333,6.70
37,0.053400,0.980604,61.86,0.084731,0.972333,6.80
38,0.053763,0.979604,61.14,0.084899,0.972167,6.83
39,0.053543,0.979854,61.94,0.084733,0.972583,7.60
40,0.052114,0.980625,62.00,0.084990,0.972333,6.55
41,0.051857,0.980479,61.11,0.085338,0.972333,6.36
42,0.052023,0.980812,58.53,0.085591,0.972333,6.25
43,0.050692,0.981667,60.92,0.086027,0.972250,6.95
44,0.050972,0.981104,63.79,0.086167,0.971917,7.13
45,0.049370,0.982062,64.92,0.086422,0.972083,7.43
46,0.048430,0.981708,62.20,0.086432,0.972000,6.96
47,0.049521,0.981375,62.29,0.086397,0.972167,6.70
48,0.048620,0.982313,62.25,0.086442,0.972000,6.74
49,0.047914,0.982542,61.84,0.086431,0.972000,6.65
50,0.050747,0.981271,59.37,0.086439,0.972000,6.31
