epoch,phase,loss,acc,time
1,train,0.696709,0.732125,68.20
1,val,0.392443,0.849000,10.31
2,train,0.378209,0.857521,69.75
2,val,0.311643,0.886583,8.00
3,train,0.327846,0.877271,64.96
3,val,0.294539,0.887667,7.51
4,train,0.296176,0.889271,63.20
4,val,0.264739,0.899833,7.99
5,train,0.268417,0.899687,74.14
5,val,0.255813,0.906583,10.74
6,train,0.258127,0.903625,73.99
6,val,0.265623,0.903000,10.54
7,train,0.242198,0.908792,73.03
7,val,0.248434,0.910917,8.35
8,train,0.231373,0.914312,71.10
8,val,0.242128,0.913000,10.55
9,train,0.214377,0.920583,72.82
9,val,0.220057,0.919583,10.42
10,train,0.201729,0.925000,73.54
10,val,0.224928,0.916500,10.82
11,train,0.198698,0.925021,72.34
11,val,0.225404,0.921000,10.51
12,train,0.188844,0.929354,72.18
12,val,0.220283,0.919750,10.40
13,train,0.178945,0.932729,71.10
13,val,0.220844,0.920917,10.51
14,train,0.178759,0.932896,71.21
14,val,0.233682,0.916917,10.54
15,train,0.173297,0.934708,72.40
15,val,0.223993,0.919417,10.52
16,train,0.124637,0.952187,70.82
16,val,0.199613,0.929583,10.29
17,train,0.108080,0.958229,72.54
17,val,0.203439,0.930833,10.45
18,train,0.097200,0.961333,71.62
18,val,0.204057,0.932083,10.62
19,train,0.092084,0.964437,72.61
19,val,0.209802,0.932417,10.35
20,train,0.087182,0.966396,70.49
20,val,0.212260,0.933000,6.97
21,train,0.080133,0.968125,69.26
21,val,0.217503,0.931083,7.01
22,train,0.076506,0.970042,59.06
22,val,0.221398,0.930833,6.97
23,train,0.071949,0.972042,59.94
23,val,0.226632,0.932333,7.01
24,train,0.066964,0.973646,58.46
24,val,0.237911,0.930917,6.72
