epoch,train_loss,train_acc,train_time,val_loss,val_acc,val_time
1,5.092400,0.574125,92.98647952079773,0.661286,0.596000,42.6884126663208
2,0.649632,0.618375,87.98407673835754,0.693485,0.565750,40.78396797180176
3,0.627841,0.646375,82.47686004638672,0.557128,0.713000,36.491498947143555
4,0.574450,0.694937,80.12573385238647,0.593211,0.681000,13.189557075500488
5,0.523002,0.744687,82.37705373764038,0.566816,0.684500,13.113952159881592
6,0.462456,0.783062,72.72211575508118,0.494459,0.767750,11.91350269317627
7,0.406610,0.812688,89.18808484077454,0.393147,0.827000,11.949359655380249
8,0.355680,0.846000,71.86379337310791,0.362644,0.833500,11.792513847351074
9,0.318563,0.861875,72.13425540924072,0.329800,0.857250,11.818640232086182
10,0.289540,0.878750,71.39110803604126,0.358846,0.849750,11.801101207733154
11,0.246838,0.898813,76.45034885406494,0.306343,0.864500,14.218186140060425
12,0.214551,0.911813,80.2424111366272,0.348071,0.856250,12.134149551391602
13,0.185577,0.922000,73.0409197807312,0.274183,0.881250,12.808594465255737
14,0.169438,0.929000,73.82234191894531,0.483865,0.837000,12.470497131347656
15,0.154435,0.936688,74.63751935958862,0.270206,0.891250,12.249469518661499
16,0.133535,0.945312,72.96173000335693,0.299154,0.887250,11.429336309432983
17,0.124490,0.951375,69.67415642738342,0.295708,0.902000,11.56461787223816
18,0.112578,0.955562,69.78634572029114,0.318015,0.895000,11.975655317306519
19,0.106540,0.957875,71.83135390281677,0.330559,0.891250,11.904706001281738
20,0.034114,0.988187,70.39713883399963,0.348791,0.913500,11.55214548110962
20,0.034028,0.987750,83.61516332626343,0.354918,0.912750,11.876742601394653
