epoch,train_loss,train_acc,train_time,val_loss,val_acc,val_time
1,0.942665,0.662854,66.01279592514038,0.403236,0.851250,7.926486492156982
2,0.389595,0.854125,64.15843725204468,0.320235,0.876917,7.609095335006714
3,0.323586,0.878833,64.86745429039001,0.314838,0.884000,7.663347244262695
4,0.283865,0.895604,65.62972044944763,0.259987,0.902417,7.794029712677002
5,0.253051,0.907646,65.34699535369873,0.250377,0.906583,7.892404556274414
6,0.235151,0.914562,64.37290477752686,0.220142,0.917083,7.81529688835144
7,0.219660,0.920167,63.14189863204956,0.229122,0.914167,7.591449499130249
8,0.205630,0.924083,63.42485785484314,0.232058,0.917000,7.649710178375244
9,0.193911,0.928625,63.60406017303467,0.240420,0.914917,7.680262327194214
10,0.184723,0.933104,63.76637554168701,0.211520,0.923583,7.7255895137786865
11,0.176966,0.936375,63.731853723526,0.214601,0.920917,8.02933645248413
12,0.165715,0.939688,66.22215700149536,0.216309,0.919833,8.166740894317627
13,0.153364,0.944833,65.30174469947815,0.214451,0.925667,8.148756504058838
14,0.153273,0.943063,65.47311878204346,0.216537,0.923083,8.03023910522461
15,0.141629,0.947896,63.96962904930115,0.230749,0.917250,7.76622200012207
