epoch,phase,loss,acc,time
1,train,0.732132,0.734375,3.83
1,val,0.522988,0.805500,0.72
2,train,0.449925,0.836292,3.59
2,val,0.450916,0.832000,0.73
3,train,0.392057,0.857563,3.57
3,val,0.387938,0.863333,0.73
4,train,0.356887,0.868750,3.68
4,val,0.370063,0.868000,0.64
5,train,0.338775,0.875563,3.47
5,val,0.354781,0.874000,0.62
6,train,0.317207,0.882313,3.56
6,val,0.352922,0.873583,0.59
7,train,0.306012,0.887146,3.39
7,val,0.339380,0.878500,0.62
8,train,0.294555,0.890792,3.60
8,val,0.345350,0.874750,0.64
9,train,0.282218,0.895458,3.64
9,val,0.329159,0.881083,0.61
10,train,0.273636,0.897979,3.60
10,val,0.329112,0.881333,0.59
11,train,0.262029,0.903104,3.55
11,val,0.326655,0.881500,0.58
12,train,0.255360,0.904646,3.40
12,val,0.316640,0.887667,0.60
13,train,0.246018,0.908396,3.49
13,val,0.319343,0.886500,0.59
14,train,0.238628,0.911917,3.17
14,val,0.315143,0.887167,0.62
15,train,0.229398,0.914729,3.37
15,val,0.314362,0.887500,0.59
16,train,0.225298,0.915229,3.32
16,val,0.310106,0.890417,0.60
17,train,0.216803,0.919083,3.36
17,val,0.313502,0.887250,0.60
18,train,0.208485,0.922833,3.29
18,val,0.313009,0.888917,0.60
19,train,0.203495,0.923917,3.34
19,val,0.310730,0.892333,0.65
20,train,0.194301,0.927937,3.22
20,val,0.320192,0.886667,0.58
21,train,0.191017,0.928646,3.31
21,val,0.321876,0.888917,0.60
22,train,0.186177,0.930146,3.45
22,val,0.313577,0.893167,0.60
23,train,0.179865,0.932292,3.36
23,val,0.322006,0.889500,0.64
24,train,0.173143,0.935979,3.40
24,val,0.315520,0.893917,0.60
25,train,0.168948,0.938375,3.51
25,val,0.322469,0.890833,0.59
26,train,0.163208,0.939146,3.45
26,val,0.323690,0.892000,0.68
27,train,0.157198,0.942771,3.49
27,val,0.334405,0.891417,0.63
28,train,0.152566,0.944479,4.30
28,val,0.332590,0.892833,0.65
29,train,0.148839,0.945771,4.01
29,val,0.335495,0.890250,0.60
30,train,0.142888,0.947000,3.74
30,val,0.338875,0.889667,0.63
31,train,0.138562,0.950000,3.60
31,val,0.342055,0.893167,0.67
32,train,0.132500,0.952396,3.79
32,val,0.344711,0.894000,0.70
33,train,0.128698,0.953604,3.60
33,val,0.350892,0.891750,0.63
34,train,0.125668,0.954708,3.33
34,val,0.353765,0.892667,0.60
35,train,0.119268,0.956812,3.30
35,val,0.357307,0.893250,0.59
36,train,0.118038,0.956542,3.56
36,val,0.365460,0.889250,0.60
37,train,0.111880,0.960208,3.58
37,val,0.365554,0.890250,0.62
38,train,0.107628,0.961729,3.42
38,val,0.370717,0.892083,0.64
39,train,0.104922,0.962333,3.33
39,val,0.376746,0.891333,0.59
40,train,0.100481,0.964125,3.54
40,val,0.379453,0.888333,0.60
41,train,0.097902,0.965729,3.88
41,val,0.381838,0.892250,0.59
42,train,0.092440,0.967187,3.29
42,val,0.394277,0.891583,0.68
43,train,0.091264,0.968313,3.45
43,val,0.398582,0.891583,0.62
44,train,0.085504,0.969167,3.47
44,val,0.396085,0.891583,0.62
45,train,0.081045,0.972146,3.65
45,val,0.406844,0.893583,0.72
46,train,0.080785,0.971167,3.53
46,val,0.406158,0.890833,0.60
47,train,0.077026,0.972750,3.59
47,val,0.419670,0.891000,0.59
48,train,0.073125,0.974583,3.33
48,val,0.430400,0.889167,0.60
49,train,0.071865,0.974854,3.32
49,val,0.438813,0.890333,0.61
50,train,0.065147,0.977604,3.26
50,val,0.438295,0.892333,0.58
