epoch,train_loss,train_acc,train_time,val_loss,val_acc,val_time
1,0.910533,0.649813,526.7746081352234,0.377471,0.869167,46.24220132827759
2,0.447901,0.840646,541.7042572498322,0.313795,0.890333,49.64224910736084
3,0.377937,0.866833,552.6165645122528,0.309191,0.889417,47.96628284454346
4,0.343983,0.876875,549.5101141929626,0.268613,0.906667,47.24057984352112
5,0.310755,0.888958,539.2139091491699,0.277745,0.902417,47.63831377029419
6,0.286789,0.899479,545.6518995761871,0.258714,0.909250,47.35616683959961
7,0.269576,0.905042,549.0610916614532,0.266485,0.907667,46.53119397163391
8,0.247241,0.912125,533.2319297790527,0.232281,0.918667,46.1125853061676
9,0.230249,0.918333,533.5736904144287,0.231884,0.916417,47.54131507873535
10,0.216497,0.923042,536.4182760715485,0.209472,0.922250,46.44300818443298
11,0.201014,0.929167,541.6403493881226,0.220004,0.924833,47.33555245399475
12,0.185834,0.933896,542.4734933376312,0.212510,0.925667,47.11857032775879
13,0.173987,0.938583,541.2453315258026,0.208800,0.924750,46.158130168914795
14,0.168489,0.941375,543.5020155906677,0.202857,0.929833,49.59842109680176
15,0.153737,0.944187,561.4252507686615,0.220136,0.922583,50.836082458496094
16,0.114960,0.958604,561.3298535346985,0.206456,0.932417,49.477861642837524
17,0.091760,0.967313,558.9761490821838,0.209380,0.933917,51.41574192047119
18,0.081043,0.970958,569.06809425354,0.218513,0.933833,47.82443714141846
19,0.073038,0.973833,549.9291641712189,0.230112,0.933417,51.691704750061035
